"Entity","Year","Number_under_10","Number_under_2","Number_under_20","Number_under_5","Number_above_20","Number_between_20_and_10","Number_between_10_and_5","Number_between_5_and_2"
"World","1820","1022628644.02935","570884046.844186","1050248791.98984","925044388.473567","9056493.52464116","27620147.960485","97584255.5557858","354160341.629381"
"World","1850","1189842777.09822","589986375.410109","1230690454.30292","1061262150.79553","14075690.1987813","40847677.2047029","128580626.30269","471275775.385418"
"World","1870","1224884797.00013","628405899.453438","1288843126.80493","1065053382.55107","30322880.244411","63958329.8048046","159831414.449063","436647483.097628"
"World","1890","1370723166.85898","522579499.046415","1469969474.28026","1152178503.95406","53324947.9364927","99246307.421273","218544662.904919","629599004.907648"
"World","1910","1548235166.1362","576205168.460985","1701435359.90464","1248469099.5359","107554830.363099","153200193.768436","299766066.600303","672263931.074917"
"World","1929","1734945700.62683","643802885.286503","1946223652.09273","1369076289.29949","172897088.003192","211277951.465895","365869411.32734","725273404.012991"
"World","1950","1931876426.70786","761707521.933226","2222657772.03228","1538047746.74685","294785227.967721","290781345.324416","393828679.961011","776340224.813626"
"World","1960","2069917270.17065","702055493.08331","2497143952.01693","1638054603.13812","531725047.983074","427226681.846278","431862667.032529","935999110.054809"
"World","1970","2346982778.41251","617753549.129821","2771557041.88369","1776004811.60623","903407958.116306","424574263.471185","570977966.806277","1158251262.47641"
"World","1980","2676944088.46825","620971080.094811","3185737096.79802","1842933917.09829","1232239903.20198","508793008.329771","834010171.369958","1221962837.00348"
"World","1990","2964090447.51407","808075785.665677","3734230677.50281","2002491983.58516","1506762322.49719","770140229.988734","961598463.928911","1194416197.91948"
"World","2000","3154326389.69607","745187542.189362","4160232200.60008","1969450084.77443","1884669799.39992","1005905810.90401","1184876304.92165","1224262542.58507"
"World","2005","2944359825.50314","605359641.994335","4108943448.05664","1713666419.9175","2324327551.94336","1164583622.5535","1230693405.58564","1108306777.92316"
"World","2010","2615237357.23599","481897484.461964","3932681814.50558","1405964828.05607","2901456185.49442","1317444457.26959","1209272529.17992","924067343.594107"
"World","2017","2347692957.75412","407704737.211082","3851358608.87175","1174665458.86094","3561110391.12825","1503665651.11764","1173027498.89318","766960721.649854"
