"Entity","year","poverty_rate","number_in_extreme_poverty","number_not_in_extreme_poverty"
"World","1820","88.1687436674893","933976161.841426","125329123.673052"
"World","1850","86.1917992676218","1072886336.62022","171879807.88148"
"World","1870","81.7165793363939","1077977336.72922","241188670.320127"
"World","1890","76.8137849740148","1170100102.00273","353194320.214014"
"World","1910","70.2613543303672","1271021007.3856","537969182.88214"
"World","1929","65.8327591005332","1395075651.87678","724045088.219137"
"World","1950","62.1231249717358","1563914260.98221","953528739.017786"
"World","1960","55.0384958467582","1667043938.76875","1361825061.23125"
"World","1970","49.5273082227131","1820111242.62683","1854853757.37317"
"World","1980","43.0359966005101","1901320431.53132","2516656568.46868"
"World","1981","42.48489","1916551664.42361","2594585505.57639"
"World","1982","42.08232","1932563706.23032","2659777462.76968"
"World","1983","41.16324","1924079364.33736","2750186714.66264"
"World","1984","39.57556","1882179682.12283","2873734528.87717"
"World","1985","37.99381","1838548806.24276","3000525785.75724"
"World","1986","36.68656","1806716523.54214","3118020283.45786"
"World","1987","35.65067","1787009517.19792","3225545694.80208"
"World","1988","33.64529","1716346263.95457","3384951017.04543"
"World","1989","36.80663","1910262918.81977","3279733880.18023"
"World","1990","36.22002","1912444686.08006","3367631597.91994"
"World","1991","36.074","1936475915.28192","3431589492.71808"
"World","1992","35.10185","1913875694.60574","3538474237.39426"
"World","1993","34.27429","1897942761.94661","3639568772.05339"
"World","1994","33.15952","1864157648.95187","3757629545.04813"
"World","1995","31.29117","1785689784.52335","3920999305.47665"
"World","1996","29.68889","1718875052.97449","4070748786.02551"
"World","1997","29.5735","1736631143.45034","4135623217.54966"
"World","1998","29.95693","1783637267.02081","4170368256.97919"
"World","1999","28.85524","1741267085.32217","4293224692.67783"
"World","2000","27.72225","1695030551.46126","4419301984.53874"
"World","2001","26.90149","1666189996.41263","4527481790.58737"
"World","2002","25.72821","1613867057.93197","4658885916.06804"
"World","2003","24.6816","1567746196.81258","4784136164.18742"
"World","2004","22.87815","1471420032.44179","4960131611.55821"
"World","2005","20.93031","1362929119.63304","5148819247.36696"
"World","2006","20.28599","1337401469.91667","5255333072.08333"
"World","2007","19.09224","1274254980.47414","5399948677.52586"
"World","2008","18.39749","1243103295.69661","5513814608.30339"
"World","2009","17.63439","1206117203.58027","5633457080.41973"
"World","2010","16.0199","1108876910.69119","5812994703.30881"
"World","2011","13.83879","969111172.980292","6033749431.01971"
"World","2012","12.86219","911384352.487435","6174379055.51256"
"World","2013","11.3343","812628522.614706","6357011619.38529"
"World","2014","10.66744","773840459.579449","6480387917.42055"
"World","2015","10.10179","741366828.432784","6597598131.56722"
"World","2016","9.656126","716898071.637215","6707384416.36279"
"World","2017","9.177053","689110939.552674","6819954765.44733"
